allejars,alejars;allejarrs;allejares;allejeires;allejaars;allejares;allajares;
arms,armes
bafts,baftes;baftas;bafftes;baffts;
bars,barrs;barres
beads,beades;beeds;
blankets,blanketts;blanquetts;blankitts;
bouges,booges
boysadoes,boysado's;boysados;
brandy,brandie
brawls,brawles;brawlls;
carbines,carrabines;carbynes
chercolees,charcolees
chints,chintz;chinches;chintzes;chinseys;
clouts ,cloutes;cloutts
coral,corral;corrall;corall;correll;
cowries,cauris;cowryes;cowreis;cowry shells;
diglings,diglins;digglins
fusils,fuzees
ginghams,ginghames;
guns,gunns
iron,irron
jugs,juggs
knives,knifes
linen,linnen;linnens;
longcloths,longcloaths;long cloths;long cloaths;long cloathes;long clothes;longe cloaths;long cloth;longcloth;long cloath;long clothe
longees,longes;longgees
mahubetbanes,mahubutebans
muskets,musketts;muskitts
niconees,nicconees;nicanneese;niccanees;niccannees;nicanees;niccones;niconess;nicconeese;nickones;niconnese;nickonees
pans,panns
pautkaes,pautka's;pautkeys;pautkeis;pautkies;pautkes;pautkais;
perpetuanoes,perpetuanoess;perpettuanoes;perpetuano's;perpetuanoe's;perpettuanes;perpettuanos;perpetuanos;perpetians;perrpetuanoes;perpettuanoess
photaes,photas;phota longees;phota's;phota longgees;
pintadoes,pintados;pintado's;
plains,playnes;plaines;
platilloes,plattilloes
rangoes,rangos
rum,rumm;rume;rumme
saccerguntes,saccorguntes;
salemporis,sallempores;sallampores;salampores;sallompores
satins,sattins;sattine
says,sayes
sheets,sheetes;sheetts;sheates;
silk,silck;silke
sletias,slezias;
snaphances,snaphanses;snaphancees
spirits,spirritts;spirrits;spiretts
tapseils,tapseels;tapseeles;tapselles;tapsells;tapseiles;tapsieles;tapseales;tapsails;tapseles;tappseels;tappseils
tobacco,tobaco;tobaccoe;
umbanees,humbanees;ambanees;
Welsh,Welche;
akori,aggrey;aggree
cauldees,cauldes
lawns,lawnes
times,timms
