UID,Vol,LetterNo,Sender,Place Sent From,Ship Name,Place Going To,Date,Boat/Fort,RAC/Other Nation,text,Year,Month,text_cleaned,text_cleaned_dealiased
32,1,32,James Nightingale,Komenda,,Cape Coast Castle,8,Fort,RAC,"I give your Honour humble and harty thankes for all your kindnesses especially for your fatherly advice when I came from Capo Corso. I hope by the blessing of God allmighty to follow the same. I am safe arrived here and pitcht upon a house for the Company's factory which with a little charge may be made very serviceable, it stands not far from the harber soe being better capable to see what canoes goes out and in to hinder their tradeing with interlopers. The King himselfe gave me this house. Captain Bracon and all the rest of Great and Small Commenda gives your honour harty thankes in sending me hither, they all say your comands or mine by your Honour shall be observed. The most goods at present here vendable are iron barrs which are good, narrow niccanees, and tapselles, blew perpettuanoes, sheets and brawles. If your Honour will send me 100 iron barrs they are sold, to be understood in a canoe. Pray send me such goods as the Castle affords as soon as possible you can and that good not damaged. Once I have the name to have good goods the traders will come the more to me
Pray send me two windows one for the warehouse with 3 iron barrs for a shutter the other plaine, a lock and staples for the warehouse doore, the other doors and windows I will see to gett them here my selfe. I heare of noe ships. When news presents shall informe in full. I begg pardon for not writing more, I am very lame both in hand and foot, the rest refer to Cabbisheers Hansico [var. Hansaco] and Agamaco [var. Agamacia] who are capable of all actions and transactions
[PS] Pray send also a hogshead or two of brandy.",1681.0,11.0,give honour humble harty thankes kindnesses especially fatherly advice came capo corso hope blessing god allmighty follow safe arrived pitcht upon house companys factory little charge may made serviceable stands far harber soe better capable see canoes goes hinder tradeing interlopers king himselfe gave house captain bracon rest great small commenda gives honour harty thankes sending hither say comands mine honour shall observed goods present vendable iron barrs good narrow niccanees tapselles blew perpettuanoes sheets brawles honour send 100 iron barrs sold understood canoe pray send goods castle affords soon possible good damaged name good goods traders come pray send two windows one warehouse 3 iron barrs shutter plaine lock staples warehouse doore doors windows see gett selfe heare noe ships news presents shall informe full begg pardon writing lame hand foot rest refer cabbisheers hansico agamaco capable actions transactions pray send also hogshead two brandy,give honour humble harty thankes kindnesss especially fatherly advice came capo corso hope blessing god allmighty follow safe arrived pitcht upon house companys factory little charge may made serviceable stands far harber so better capable see canoes gos hinder tradeing interlopers king himself gave house captain bracon rest great small komenda gives honour harty thankes sending hither say comands mine honour shall observed goods present vendable iron bars good narrow niconees tapseils blue perpetuanos shets brawls honour send 100 iron bars sold understood canoe pray send goods castle affords soon possible good damaged name good goods traders come pray send two windows one warehouse 3 iron bars shutter plain lock staples warehouse door doors windows see get selfe hear no ships news presents shall informe full begg pardon writing lame hand foot rest refer caboceers hansico agamaco capable actions transactions pray send also hogshead two brandy
49,1,49,James Nightingale,Komenda,,Cape Coast Castle,22,Fort,RAC,"Your honours dated 21 instant I have received, alsoe 20 pieces sayes, and 20 herba longees and halfe piece red cloath, for which shall give the Company creditt. There comes two gentlemen in Captain Woodfine both of the Councill supposed to [be] one your second the other warehousekeeper. Mr Kite is in this roade in an interloper, comes from Barbadoes.",1681.0,12.0,honours dated 21 instant received alsoe 20 pieces sayes 20 herba longees halfe piece red cloath shall give company creditt comes two gentlemen captain woodfine councill supposed one second warehousekeeper mr kite roade interloper comes barbadoes,honours dated 21 instant received also 20 pieces says 20 herba longees half piece red cloath shall give company credit comes two gentlemen captain woodfine councill supposed one second warehousekeeper mr kite road interloper comes barbados
53,1,53,James Nightingale,Komenda,,Cape Coast Castle,19,Fort,RAC,"Your honours dated the 17th instant per Mr John Smith came safe to my hands. As
to an answer of the fire itt is as followeth. On Monday being the 16th instant the fire began about 8 a clock at night about 50 paces to windward from us, which consumed within less than  of an hours time above 200 houses, occasioned by one frieing of fish in palm oyle. The old Queene and Captain Bracon lost all they had, only saved their gold, and as to the Royall Company's concerns att the heate of the fire [I] was afraid that I should not save one cracra worth but the great mercy of God Almighty and assistance of my boys and Commenda people saved all only 1 chest of sheets, 21 lead barrs, 5 31b pewter basons, 28 41b ditto, 85 chests of corne, 10 pewter jugs. The remains [I] have with Mr Smith compared with my accounts and books and found that did agree. The lead barrs, juggs, basons, were in the roome with the iron [and?] are melted, I have saved of itt as much as possible could. The sheets were in my owne room which are consumed with most part of my owne goods. As to the corne [I] had bought and paid for 129 chests, whereof is remayning above 40 odd. I doe assure your honour if such an accident had befallen the Dutch, they would not have saved one penny's worth. The Dutch heareing that our factory was consumed with all the Royall Company's concerns, were very hott to settle their factory, but I have stopt their designe, and what is possible of the contract shall be observed. Here is in the road a great French ship between 30 or 40 guns, about 200 men. I told the Capushers last night to remember your honours contract, and that none here should come ashoare for [I] intend absolutely with Captain Bracons assistance to hinder all them that should act anything prejudiciall to my masters the Royall Affrican Company. Here are likewise in the road two English interlopers, the one called Captain Young the other I doe not know. I desire your honour to send mee your order and Councill if any come ashoare to hinder their designe. I desire your honour be pleased to send some body here to see what is best to be done about the factory, either repairing this or to build where the factory was formerly, and what length and breadth your honour will be pleas'd to order it. I also desire your honour that you would be pleased to consider the loss and charge I am att, also to allow some gratuity to the people that soe trusty assisted mee in saveing the Company's goods, and especially Mr Harper for his care in the midst of the fire, for wee all were afraid the factory would blow up by reason of the powder. If my opinion may be excepted I could advise what is to be done, and att the least charge, about our factory. Soe haveing no more to inlarge only referr the rest to the report of Mr Smith whoe will give your honour a particular account. In the meane time am in a distressed condition as to my person but the Companys goods are secure.
[PS] The reason I have not writt before was for want of inke.",1682.0,1.0,honours dated 17th instant per mr john smith came safe hands answer fire itt followeth monday 16th instant fire began 8 clock night 50 paces windward us consumed within less hours time 200 houses occasioned one frieing fish palm oyle old queene captain bracon lost saved gold royall companys concerns att heate fire afraid save one cracra worth great mercy god almighty assistance boys commenda people saved 1 chest sheets 21 lead barrs 5 31b pewter basons 28 41b ditto 85 chests corne 10 pewter jugs remains mr smith compared accounts books found agree lead barrs juggs basons roome iron melted saved itt much possible could sheets owne room consumed part owne goods corne bought paid 129 chests whereof remayning 40 odd doe assure honour accident befallen dutch would saved one pennys worth dutch heareing factory consumed royall companys concerns hott settle factory stopt designe possible contract shall observed road great french ship 30 40 guns 200 men told capushers last night remember honours contract none come ashoare intend absolutely captain bracons assistance hinder act anything prejudiciall masters royall affrican company likewise road two english interlopers one called captain young doe know desire honour send mee order councill come ashoare hinder designe desire honour pleased send body see best done factory either repairing build factory formerly length breadth honour pleasd order also desire honour would pleased consider loss charge att also allow gratuity people soe trusty assisted mee saveing companys goods especially mr harper care midst fire wee afraid factory would blow reason powder opinion may excepted could advise done att least charge factory soe haveing inlarge referr rest report mr smith whoe give honour particular account meane time distressed condition person companys goods secure reason writt want inke,honours dated 17th instant per mr john smith came safe hands answer fire it followeth monday 16th instant fire began 8 clock night 50 paces windward us consumed within less hours time 200 houses occasiond one frieing fish palm oil old queen captain bracon lost saved gold royal companys concerns at heat fire afraid save one craccra worth great mercy god almighty assistance boys komenda people saved 1 chest shets 21 lead bars 5 31b pewter basons 28 41b ditto 85 chests corn 10 pewter jugs remains mr smith compared accounts books found agree lead bars jugs basons room iron melted saved it much possible could shets owne room consumed part owne goods corn bought paid 129 chests whereof remaining 40 odd do assure honour accident befallen dutch would saved one pennys worth dutch hearing factory consumed royal companys concerns hot settle factory stopped designe possible contract shall observed road great french ship 30 40 guns 200 men told caboceers last night remember honours contract none come ashore intend absolutely captain bracons assistance hinder act anything prejudiciall masters royal african company likewise road two english interlopers one called captain young do know desire honour send me order councill come ashore hinder designe desire honour pleased send body see best done factory either repairing build factory formerly length breadth honour pleasd order also desire honour would pleased consider loss charge at also allow gratuity people so trusty assisted me saveing companys goods especially mr harper care midst fire we afraid factory would blow reason powder opinion may excepted could advise done at least charge factory so having inlarge referr rest report mr smith who give honour particular account meane time distressed condition person companys goods secure reason wrote want inke
54,1,54,James Nightingale,Komenda,,Cape Coast Castle,21,Fort,RAC,"Last night understanding by the blacks that there was a differance between the English interloper and the Frenchman in this road thought fitt to send this morning aboard the French ship to understand the reason because I might give your honour an account of it, which is as followeth. Mr Harper comeing from on board the Frenchman reports mee that the French Captain sent his boate with his Leiuetenant aboard of Captain Young an English interloper and demanded in the King of France his name his pass and commission but ditto Captain replyed you French dogg gett you gon with all your people out of my ship or else I will kill you, and said wee are the King of Englands subjects and an interloper, and bid him come aboard to fight him, whereupon hee made his guns ready but the French leiutenant comeing aboard told his Captain all transactions, whereupon the French Captain with his marchant Monsieur Bardoe [var. Bordoe] sent a civill answer in writing to the interloper desireing not to be soe bold for hee would doe him noe harme here, but as soone as the Frenchman had understood of your honour that the English man was an interloper and noe Royall Company's ship, [he] would doe the Royall Company that service as soone as once was to leward of Capo Corsoe, would take the interloper above mentioned; the which in Monsieur Bordoe [var. Berdoe] marchant whose [= his] name and their companys seal I send your honour inclosed, [he] reports that his ship came about 3 months agoe from Rusborg very neare Rochell, their old company being broake, and haveing a new one very desireous to settle in these parts, and to that intent gives great encouragement to the Blacks, alsoe that dayly here is expected two Frenchmen of war with a Generall and marchandize, goods and materialls to settle the Gold Coast, especially to build a fort att Commenda,  which by contract has been agreed 10 yeares agoe, for these people here sent a black to France whoe spoke with the King himselfe. Therefore now is time for us to looke after our masters the Royall Affrican Company's place and interests upon the coast, and if once being gone itt will not be easie to gett them againe, especially Commenda, Wyamba, Succonde, Lague which are privilidged places to the Royall Affrican Company of England.",1682.0,1.0,last night understanding blacks differance english interloper frenchman road thought fitt send morning aboard french ship understand reason might give honour account followeth mr harper comeing board frenchman reports mee french captain sent boate leiuetenant aboard captain young english interloper demanded king france name pass commission ditto captain replyed french dogg gett gon people ship else kill said wee king englands subjects interloper bid come aboard fight whereupon hee made guns ready french leiutenant comeing aboard told captain transactions whereupon french captain marchant monsieur bardoe sent civill answer writing interloper desireing soe bold hee would doe noe harme soone frenchman understood honour english man interloper noe royall companys ship would doe royall company service soone leward capo corsoe would take interloper mentioned monsieur bordoe marchant whose name companys seal send honour inclosed reports ship came 3 months agoe rusborg neare rochell old company broake haveing new one desireous settle parts intent gives great encouragement blacks alsoe dayly expected two frenchmen war generall marchandize goods materialls settle gold coast especially build fort att commenda contract agreed 10 yeares agoe people sent black france whoe spoke king himselfe therefore time us looke masters royall affrican companys place interests upon coast gone itt easie gett againe especially commenda wyamba succonde lague privilidged places royall affrican company england,last night understanding blacks differance english interloper frenchman road thought fit send morning aboard french ship understand reason might give honour account followeth mr harper coming board frenchman reports me french captain sent boat leiuetenant aboard captain young english interloper demanded king france name pass commission ditto captain replied french dogg get gone people ship else kill said we king englands subjects interloper bid come aboard fight whereupon he made guns ready french leiutenant coming aboard told captain transactions whereupon french captain marchant monsieur bardo sent civill answer writing interloper desiring so bold he would do no harm soon frenchman understood honour english man interloper no royal companys ship would do royal company service soon leeward capo corso would take interloper mentioned monsieur boardo marchant whose name companys seal send honour inclosed reports ship came 3 months ago rusborg neare rochell old company broake having new one desireous settle parts intent gives great encouragement blacks also dayly expected two frenchmen war general marchandize goods materialls settle gold coast especially build fort at komenda contract agreed 10 yeares ago people sent black france who spoke king himself therefore time us look masters royal african companys place interests upon coast gonee it easie get again especially komenda winneba succonde lagu privilidged places royal african company england
56,1,56,James Nightingale,Komenda,,Cape Coast Castle,28,Fort,RAC,"Your Honours dated the 26th instant I have received and understand your Honour will be pleased to build a factory for the Royall Company at the old place it was formerly, but I begg your Honour to give me the liberty to build a little higher, to be understood the place where a fort may stand, it being hard by the old factory but better situated, also to inhedge soe much ground in for the Royall Company as possible can, for now is the time, and when I receive your Honours model and directions shall endeavour to carry on the affaires according to your Honours order. The people here give your Honour humble thanks for the gratueity, and I have paid them in silke longees the worth of a peece of say, which does incourage them and upon all occasions [they] shall be at your Honours commands. Yesterday arrived here a small interloper bound for the Bite, his name unknowne. Captain Young is still in the road. I here of noe ships to windward.",1682.0,1.0,honours dated 26th instant received understand honour pleased build factory royall company old place formerly begg honour give liberty build little higher understood place fort may stand hard old factory better situated also inhedge soe much ground royall company possible time receive honours model directions shall endeavour carry affaires according honours order people give honour humble thanks gratueity paid silke longees worth peece say incourage upon occasions shall honours commands yesterday arrived small interloper bound bite name unknowne captain young still road noe ships windward,honours dated 26th instant received understand honour pleased build factory royal company old place formerly begg honour give liberty build little higher understood place fort may stand hard old factory better situated also inhedge so much ground royal company possible time receive honours model directions shall endeavour carry affairs according honours order people give honour humble thanks gratueity paid silk longees worth peece say encourage upon occasions shall honours commands yesterday arrived small interloper bound bite name unknowne captain young still road no ships windward
59,1,59,James Nightingale,Komenda,,Cape Coast Castle,15,Fort,RAC,"Your Honours dated the 11th instant came safe to my hands. [I] answer that all the powder remaining last month was sold the 5th instant, for as soon received your Honours letter presently have shewed Hansico the warehouse as he can give your Honour an account.
As to corne I have in all 85 chests. If your Honour pleases to order me to give 1 angle per chest I am of oppinion can procure a good quantity, for course sletias, green perpettuanes, or gold, for other ships give 2 angles per chest.
As to the reason I sent for one of your honours Cappusheers, was this, that I would have these people know that your Honours comands in behalfe of the Royall Affrican Company of England should absolutly be obteined, and would know before wee build the factory the reason it was not on theire side accomplished, and especially here being soe many rogues of other countrys that went aboard of ships without leave, that I would panyare them. They not beleiving me sent of severall canoes with musquetts to take them and put them all from aboard an interloper comanded by Captain Been, which occasioned a long and strong palavora, but at the end [I] made the merchants and Arcanies take this country fetish that none should goe aboard of any ship to trade contrary to your Honours articles, and alsoe prendee'd them three sheep, whereof your Honour will receive two from the transgressers, but it has been chargeable to me, besides [I] paid 12 angles in gold and one anchor of brandy, the brandy was spent in the 5 dayes palavora, and the 12a was given to the fetishmakers and Cappusheers. The Comenda merchants and Arcanies likewise paid to the Cappusheers and fetishmakers 1 ounce 8 angles of gold besides the Kings Mareen. Your honour haveing formerly ordred me to incourage these people not to let any other nation come ashoare was the occasion, soe that for the future wee may here order your Honours comands, which shall at all times be observed in what lyes in my power.
As to the building of your Honours factory tomorrow the people intend to goe about it, they demand 10 anchors of brandy for the whole charge of building, halfe in hand the other halfe when it is build, and that according to the draught, for they will doe their endeavor to have it finished before the raines. Pray let me have one or two slaves that has expearence in building for assisting and directing the workmen.
There is at Axhim Captain Nicholas Van Home in a ship of 36 gunns, his second with 24 ditto, and two Branderburgers of good force. They are full of goods and lets noe trade be where they come to anchor.
I would have written more at large but am not well, therefore pray pardon me, the rest I leave to Cappusheer Hansico who will give your Honour a generall account.",1682.0,2.0,honours dated 11th instant came safe hands answer powder remaining last month sold 5th instant soon received honours letter presently shewed hansico warehouse give honour account corne 85 chests honour pleases order give 1 angle per chest oppinion procure good quantity course sletias green perpettuanes gold ships give 2 angles per chest reason sent one honours cappusheers would people know honours comands behalfe royall affrican company england absolutly obteined would know wee build factory reason theire side accomplished especially soe many rogues countrys went aboard ships without leave would panyare beleiving sent severall canoes musquetts take put aboard interloper comanded captain occasioned long strong palavora end made merchants arcanies take country fetish none goe aboard ship trade contrary honours articles alsoe prendeed three sheep whereof honour receive two transgressers chargeable besides paid 12 angles gold one anchor brandy brandy spent 5 dayes palavora 12a given fetishmakers cappusheers comenda merchants arcanies likewise paid cappusheers fetishmakers 1 ounce 8 angles gold besides kings mareen honour haveing formerly ordred incourage people let nation come ashoare occasion soe future wee may order honours comands shall times observed lyes power building honours factory tomorrow people intend goe demand 10 anchors brandy whole charge building halfe hand halfe build according draught doe endeavor finished raines pray let one two slaves expearence building assisting directing workmen axhim captain nicholas van home ship 36 gunns second 24 ditto two branderburgers good force full goods lets noe trade come anchor would written large well therefore pray pardon rest leave cappusheer hansico give honour generall account,honours dated 11th instant came safe hands answer powder remaining last month sold 5th instant soon received honours letter presently showed hansico warehouse give honour account corn 85 chests honour pleases order give 1 angle per chest oppinion procure good quantity course sletias green perpetuanos gold ships give 2 angles per chest reason sent one honours cappushers would people know honours comands behalf royal african company england absolutly obteined would know we build factory reason theire side accomplished especially so many rogues countries went aboard ships without leave would panyar beleiving sent several canoes musquetts take put aboard interloper comanded captain occasiond long strong palaver end made merchants akani take country fetish none go aboard ship trade contrary honours articles also prendeed three shep whereof honour receive two transgressers chargeable besides paid 12 angles gold one anchor brandy brandy spent 5 days palaver 12a given fetishmakers cappushers komenda merchants akani likewise paid cappushers fetishmakers 1 ounce 8 angles gold besides kings mareen honour having formerly ordred encourage people let nation come ashore occasion so feture we may order honours comands shall times observed lies power building honours factory tomorrow people intend go demand 10 anchors brandy whole charge building half hand half build according draught do endeavor finished rains pray let one two slaves expearence building assisting directing workmen axim captain nicholas van home ship 36 guns second 24 ditto two branderburgers good force full goods lets no trade come anchor would writen large well therefore pray pardon rest leave cappusher hansico give honour general account
66,1,66,James Nightingale,Komenda,,Cape Coast Castle,10,Fort,RAC,"Your honours of the 6th of this instant I have received whereby I understand that my March accompts are allowed of, but stranges [strange is?] my canoe hyres are againe termed extravagant, seeing itt is your honours order I should give an account of what ships comes or passes att this place, which I hope your honour knowes I cannot doe without sending aboard and consequently charge itt to an account. I shall doe my endeavour to purchase what corne I can for Mr Shears at the rate of 2 angles per chest but the Blacks will not be att the charge of the canoe hyre for the interlopers pays 3 angles per chest now att this present both to windward and leward of this place. Pray send up the briganteen with the first oppertunity with those goods mentioned in my last of the 5th of this instant and lett the iron barrs be of the best sort, especially those that are marked.
PS. If your honour will lower the price of the red and blew cloath there is a probability to dispose of itt but not att the former rates.",1682.0,4.0,honours 6th instant received whereby understand march accompts allowed stranges canoe hyres againe termed extravagant seeing itt honours order give account ships comes passes att place hope honour knowes cannot doe without sending aboard consequently charge itt account shall doe endeavour purchase corne mr shears rate 2 angles per chest blacks att charge canoe hyre interlopers pays 3 angles per chest att present windward leward place pray send briganteen first oppertunity goods mentioned last 5th instant lett iron barrs best sort especially marked ps honour lower price red blew cloath probability dispose itt att former rates,honours 6th instant received whereby understand march accounts allowed stranges canoe hyres again termed extravagant seeing it honours order give account ships comes passes at place hope honour knowes cannot do without sending aboard consequently charge it account shall do endeavour purchase corn mr shears rate 2 angles per chest blacks at charge canoe hyre interlopers pays 3 angles per chest at present windward leeward place pray send brigantine first opportunity goods mentioned last 5th instant let iron bars best sort especially marked ps honour lower price red blue cloath probability dispose it at former rates
72,1,72,James Nightingale,Komenda,,Cape Coast Castle,03,Fort,RAC,"I have by this express sent your honour herein inclosed my June account with the ballance of the same to Mr Henry Spurvay amounting to 8 marks, 4 angles and 3 tacco's, whereof paid ditto Spurvay the 23rd of June 6 marks, 7 ounces, 12 angles and now per bearer 1 marke, 8 angles and 3 tacco's as per his receipts. Here is arrived to windward of this place one small Barbarian [sic: = Barbadian] interloper comeing from the Beneen and St Thoma, I suppose it may be Charles Langley. The damaged barrill of powder whereof I writt yesterday was forgott by the canoemen but shall be sent per first oppertunity.",1682.0,7.0,express sent honour herein inclosed june account ballance mr henry spurvay amounting 8 marks 4 angles 3 taccos whereof paid ditto spurvay 23rd june 6 marks 7 ounces 12 angles per bearer 1 marke 8 angles 3 taccos per receipts arrived windward place one small barbarian interloper comeing beneen st thoma suppose may charles langley damaged barrill powder whereof writt yesterday forgott canoemen shall sent per first oppertunity,express sent honour herein inclosed june account balance mr henry spurvay amounting 8 marks 4 angles 3 taccoes whereof paid ditto spurvay 23rd june 6 marks 7 ounces 12 angles per bearer 1 marke 8 angles 3 taccoes per receipts arrived windward place one small barbarian interloper coming benin sao tome suppose may charles langley damaged barl powder whereof wrote yesterday forgot canoemen shall sent per first opportunity
78,1,78,James Nightingale,Komenda,,Cape Coast Castle,14,Fort,RAC,"Itt haveing pleased God after a verry sore fitt of sickness to put mee in some way of recovery, although as yett I continue very weake and my health returns but slowly yett, I have endeavoured to draw up the last months accompt which I send your honour herein inclosed by this express of my boatswaine, as alsoe the ballance of the same to Mr Henry Spurvay being 4 marks, 7 ounces, 10 angles, 10 tacco's. Satureday night last came in this road Captain Andrews, Captain May and Captain Morphy, interlopers, they provided with all sorts of currant goods and takes a great deale of money and I to the contrary take not one cracra on shoare in the Company s factory.",1682.0,8.0,itt haveing pleased god verry sore fitt sickness put mee way recovery although yett continue weake health returns slowly yett endeavoured draw last months accompt send honour herein inclosed express boatswaine alsoe ballance mr henry spurvay 4 marks 7 ounces 10 angles 10 taccos satureday night last came road captain andrews captain may captain morphy interlopers provided sorts currant goods takes great deale money contrary take one cracra shoare company factory,it having pleased god very sore fit sickness put me way recovery although yet continue weak health returns slowly yet endeavoured draw last months account send honour herein inclosed express boatswaine also balance mr henry spurvay 4 marks 7 ounces 10 angles 10 taccoes saturday night last came road captain andrews captain may captain morphy interlopers provided sorts current goods takes great deale money contrary take one craccra shore company factory
80,1,80,James Nightingale,Komenda,,Cape Coast Castle,19,Fort,RAC,"After humbly begging your honours serious consideration of my last dated the 17th instant, these serves to acquaint your honour that last night about 9 of the clock there happened here some few houses to windward of the Royall Companys factory a most terrible and vehement fire which in the space of one halfe houre consumed above 60 houses but by the providence of God in calming the wind and our great industry in dethatching all the houses betwixt us and the fire which threatned any damage to our quarter [we] have, blessed be God, preserved the Royall Companys concerns from any damage of those threatning flames. The three interlopers are still in the roade corning and tradeing.",1682.0,8.0,humbly begging honours serious consideration last dated 17th instant serves acquaint honour last night 9 clock happened houses windward royall companys factory terrible vehement fire space one halfe houre consumed 60 houses providence god calming wind great industry dethatching houses betwixt us fire threatned damage quarter blessed god preserved royall companys concerns damage threatning flames three interlopers still roade corning tradeing,humbly begging honours serious consideration last dated 17th instant serves acquaint honour last night 9 clock happened houses windward royal companys factory terrible vehement fire space one half houre consumed 60 houses providence god calming wind great industry dethatching houses betwixt us fire threatned damage quarter blessed god preserved royal companys concerns damage threatning flames three interlopers still road corning tradeing
