good,possible_alias,UID
allejar,alejars,1695
allejar,allejaars,230
allejar,allejares,418
allejar,allejarrs,248
allejar,allejars,134
allejar,allijars,389
allejars,alejars,1695
allejars,allajares,576
allejars,allejaars,230
allejars,allejar,1245
allejars,allejares,418
allejars,allejarrs,248
allejars,allijares,2986
allejars,allijars,389
bafts,abaft,3058
bafts,acts,1638
bafts,aft,509
bafts,backs,1622
bafts,baffo,158
bafts,bafftes,837
bafts,baffts,910
bafts,baft,425
bafts,baftas,39
bafts,baftes,479
bafts,baggs,125
bafts,bails,389
bafts,bales,74
bafts,balks,921
bafts,balls,1983
bafts,bands,1359
bafts,bans,2095
bafts,bares,1452
bafts,barrs,4
bafts,bars,492
bafts,bass,1639
bafts,basss,872
bafts,bast,2704
bafts,bats,668
bafts,batts,661
bafts,bauks,689
bafts,beasts,2859
bafts,belts,1696
bafts,boats,484
bafts,bolts,223
bafts,buts,1507
bafts,butts,219
bafts,catts,689
bafts,eats,433
bafts,gifts,1048
bafts,haft,1391
bafts,hafte,724
bafts,harts,3039
bafts,hats,1545
bafts,masts,637
bafts,mats,2003
bafts,matts,2167
bafts,parts,54
bafts,rats,687
bafts,ratts,689
bafts,safty,670
bafts,waits,99
bafts,wants,106
blue,able,45
blue,ague,45
blue,ale,1587
blue,aque,198
blue,aue,704
blue,bade,2705
blue,badue,1746
blue,bage,1114
blue,baie,738
blue,bale,320
blue,balle,2150
blue,bare,227
blue,base,394
blue,bauke,368
blue,be,1
blue,bebe,485
blue,bee,51
blue,bene,696
blue,bile,2048
blue,bine,396
blue,bite,56
blue,blak,2619
blue,blame,51
blue,bleed,1148
blue,blew,2
blue,blow,53
blue,blues,2821
blue,blunt,1735
blue,blwe,1109
blue,bogue,2986
blue,bole,414
blue,bone,1684
blue,boque,409
blue,bore,511
blue,bote,1553
blue,bouge,2082
blue,boul,1452
blue,bout,343
blue,bouy,1085
blue,boye,248
blue,brute,1685
blue,bulce,115
blue,bulge,536
blue,bulse,494
blue,bum,1023
blue,but,1
blue,buy,4
blue,bye,1436
blue,byre,1452
blue,clune,1684
blue,due,87
blue,elce,24
blue,elme,415
blue,else,54
blue,esue,2983
blue,flue,1991
blue,flux,404
blue,flye,1912
blue,ile,458
blue,isue,665
blue,le,2710
blue,lee,1891
blue,lie,507
blue,luke,1351
blue,lye,7
blue,olde,616
blue,plume,1928
blue,sloe,1921
blue,sue,2019
blue,true,1
blue,value,478
boat,aboad,948
boat,about,1
boat,at,4
boat,ba,409
boat,bad,16
boat,baft,425
boat,bag,483
boat,bar,1485
boat,bast,2704
boat,bats,668
boat,bay,484
boat,bead,1356
boat,beaf,673
boat,bear,332
boat,beast,1246
boat,beat,327
boat,beate,254
boat,best,6
boat,bit,1452
boat,bitt,332
boat,blak,2619
boat,board,1
boat,boare,1477
boat,boars,433
boat,boast,1198
boat,boate,40
boat,boates,249
boat,boath,381
boat,boathe,270
boat,boaths,1944
boat,boats,484
boat,boatte,723
boat,boby,455
boat,body,10
boat,bold,54
boat,bole,414
boat,bolt,556
boat,bolts,223
boat,bona,394
boat,bond,492
boat,bone,1684
boat,bony,2975
boat,book,124
boat,boom,691
boat,boon,2809
boat,boote,1909
boat,booth,494
boat,booy,1507
boat,bord,396
boat,bore,511
boat,born,790
boat,bote,1553
boat,both,12
boat,bougt,850
boat,boul,1452
boat,bout,343
boat,bouy,1085
boat,bowl,1452
boat,box,103
boat,boy,8
boat,boye,248
boat,boys,53
boat,brag,2709
boat,bran,1107
boat,bras,2758
boat,bratt,668
boat,broad,4
boat,broak,477
boat,but,1
boat,butt,76
boat,cat,689
boat,coast,4
boat,coat,673
boat,coate,298
boat,cost,43
boat,cott,414
boat,deat,588
boat,dont,318
boat,eat,324
boat,foart,2510
boat,foot,32
boat,fort,2
boat,goat,2305
boat,goate,401
boat,goats,484
boat,got,347
boat,gott,28
boat,gout,1467
boat,grat,1409
boat,groat,2339
boat,hat,3040
boat,heat,1127
boat,hopt,2019
boat,host,421
boat,hot,3004
boat,hott,53
boat,load,171
boat,loaf,484
boat,loan,2379
boat,loath,60
boat,lost,6
boat,mat,127
boat,meat,1116
boat,most,2
boat,neat,1132
boat,noat,243
boat,noate,210
boat,noats,809
boat,noatt,1111
boat,not,1
boat,nott,117
boat,oath,397
boat,oct,304
boat,oft,1670
boat,ont,1406
boat,ot,1393
boat,out,1
boat,owt,1701
boat,poast,3008
boat,port,485
boat,post,507
boat,pot,1452
boat,pott,483
boat,rat,1477
boat,road,51
boat,roap,1455
boat,rot,2291
boat,rott,1373
boat,rout,10
boat,sat,1261
boat,seat,738
boat,soap,1744
boat,sort,8
boat,sott,1356
boat,that,1
boat,what,1
boat,wont,195
brawl,bail,676
brawl,ball,216
brawl,bowl,1452
brawl,brace,738
brawl,bradd,1844
brawl,bradly,924
brawl,brads,1898
brawl,brag,2709
brawl,brags,1084
brawl,brails,292
brawl,brake,383
brawl,bran,1107
brawl,bras,2758
brawl,brass,3
brawl,bratt,668
brawl,brave,1452
brawl,brawk,3008
brawl,brawke,3008
brawl,brawle,1
brawl,brawles,4
brawl,brawlls,575
brawl,brawls,293
brawl,brown,1028
brawl,draw,26
brawl,drawd,2435
brawl,drawn,1388
brawl,draws,279
brawl,raw,1924
brawl,tawl,1252
brawls,bails,389
brawls,balls,1983
brawls,bradds,1897
brawls,bradly,924
brawls,bradlys,1220
brawls,brads,1898
brawls,brags,1084
brawls,brails,292
brawls,brains,1186
brawls,bras,2758
brawls,brass,3
brawls,braules,2860
brawls,brawk,3008
brawls,brawke,3008
brawls,brawle,1
brawls,brawles,4
brawls,brawlls,575
brawls,drawes,1398
brawls,draws,279
brawls,mawls,1931
carpenter,carpenters,487
carpenter,carpinter,913
carpenter,carpinters,2837
carpenter,carrecter,118
chercolee,charcolees,2924
chercolee,chercolees,160
chercolees,charcolees,2924
chints,chasts,2751
chints,cheats,2175
chints,cheets,2292
chints,chests,31
chints,chiefs,411
chints,chint,1771
chints,chintzes,483
chints,chist,2435
chints,coines,1965
chints,flints,1651
chints,paints,43
chints,pints,1477
chints,points,82
chints,shifts,2723
chints,shirts,1712
chints,things,9
chints,thinks,34
chints,tlints,1718
chints,whits,396
clouts ,clotts,817
clouts ,clouds,3093
clouts ,clout,484
clouts ,cloutes,1695
clouts ,clouts,4
clouts ,cloutts,891
coast,bast,2704
coast,beast,1246
coast,boast,1198
coast,boat,171
coast,cant,201
coast,capt,1643
coast,cas,948
coast,case,55
coast,cash,4
coast,cask,391
coast,cass,944
coast,cast,339
coast,cat,689
coast,catt,553
coast,chase,65
coast,chast,1538
coast,chasts,2751
coast,cheast,1704
coast,chest,6
coast,chist,2435
coast,clapt,637
coast,coale,1381
coast,coals,1382
coast,coarse,648
coast,coaste,736
coast,coat,673
coast,coate,298
coast,comit,2175
coast,coms,2076
coast,cors,396
coast,corse,42
coast,corso,32
coast,cost,43
coast,coste,378
coast,costs,433
coast,cots,2874
coast,cott,414
coast,count,55
coast,court,111
coast,covet,1073
coast,cows,408
coast,cract,669
coast,craft,478
coast,crost,2991
coast,east,559
coast,fast,11
coast,foart,2510
coast,forst,29
coast,goat,2305
coast,hast,36
coast,hoist,1904
coast,host,421
coast,hoyst,1
coast,joist,149
coast,last,3
coast,least,23
coast,loest,1319
coast,lost,6
coast,mast,153
coast,moist,1751
coast,most,2
coast,noat,243
coast,noatt,1111
coast,past,7
coast,poast,3008
coast,post,507
coast,vast,1178
coast,wast,2983
coast,worst,231
ginghams,finchams,553
ginghams,gingham,113
ginghams,ginghames,376
ginghams,mingham,446
ginghams,minghams,1473
green,agree,35
green,agreed,54
green,agrees,959
green,been,1
green,breed,294
green,brees,1588
green,careen,1507
green,free,2
green,freed,1677
green,garden,1720
green,given,21
green,goten,587
green,grain,1477
green,great,2
green,greedy,4
green,greene,3
green,greens,4
green,greet,3077
green,greets,2565
green,grete,566
green,grief,683
green,groin,1689
green,mareen,59
green,mereen,852
green,obeen,13
green,queen,388
green,reed,1110
green,seen,40
green,teen,1108
green,theen,1945
green,tree,484
green,trees,145
linen,bine,396
linen,binin,752
linen,binn,1403
linen,dine,1040
linen,eliven,2276
linen,fine,39
linen,finer,235
linen,fines,421
linen,finey,600
linen,given,21
linen,laden,727
linen,laien,597
linen,laine,494
linen,lane,2155
linen,layen,226
linen,lie,507
linen,lien,1478
linen,lies,43
linen,lieu,382
linen,liew,990
linen,life,291
linen,like,60
linen,liked,136
linen,liken,661
linen,likes,98
linen,lime,418
linen,limes,2885
linen,linch,980
linen,lind,2082
linen,line,92
linen,lined,2031
linen,lines,48
linen,linger,2710
linen,lining,113
linen,linnen,479
linen,linnens,393
linen,lins,2767
linen,liten,1626
linen,live,1
linen,lived,384
linen,lives,1
linen,loden,2872
linen,londen,1925
linen,lone,2818
linen,luinen,1459
linen,lyen,2124
linen,lynes,581
linen,mien,2701
linen,mine,32
linen,mines,1068
linen,nine,650
linen,pine,2240
linen,pines,2737
linen,piney,1078
linen,pinn,1784
linen,risen,4
linen,vine,600
linen,wine,398
longcloths,longcloath,288
longcloths,longcloaths,288
longcloths,longcloth,153
longees,boogees,485
longees,bougees,1454
longees,hingees,2327
longees,lodges,3072
longees,longe,147
longees,longee,2518
longees,longeer,1108
longees,longeesby,487
longees,longer,4
longees,longes,213
longees,longest,1351
longees,longgees,2842
longees,tongues,1409
niconee,nicanees,480
niconee,niccanee,199
niconee,nicconee,738
niconee,nicconees,217
niconee,niccones,717
niconee,nickonees,2147
niconee,nickones,1754
niconee,niconees,795
niconee,niconnese,2068
niconees,nicanees,480
niconees,niccanees,3
niconees,nicconee,738
