antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['plains']),frozenset(['pautkaes']),0.03979294726625687,0.024263992235522485,0.00517631834357813,0.13008130081300814,5.361084010840109,0.004210782580081118,1.1216404575236518
frozenset(['pautkaes']),frozenset(['plains']),0.024263992235522485,0.03979294726625687,0.00517631834357813,0.21333333333333335,5.361084010840109,0.004210782580081118,1.2206021856784872
frozenset(['knives']),frozenset(['rum']),0.041734066645098676,0.06567453898414753,0.004529278550630864,0.10852713178294573,1.6524993317294838,0.00178841296378032,1.0480694301829996
frozenset(['rum']),frozenset(['knives']),0.06567453898414753,0.041734066645098676,0.004529278550630864,0.06896551724137931,1.652499331729484,0.00178841296378032,1.029248595084894
frozenset(['brawls']),frozenset(['knives']),0.03008735037204788,0.041734066645098676,0.004852798447104497,0.16129032258064516,3.864716179044761,0.003597130961503016,1.1425478436154592
frozenset(['knives']),frozenset(['brawls']),0.041734066645098676,0.03008735037204788,0.004852798447104497,0.11627906976744184,3.864716179044761,0.003597130961503016,1.0975327351053141
frozenset(['allejars']),frozenset(['brawls']),0.01973471368489162,0.03008735037204788,0.0042057586541572305,0.21311475409836067,7.083201128150891,0.003611993409027848,1.2325973255688558
frozenset(['brawls']),frozenset(['allejars']),0.03008735037204788,0.01973471368489162,0.0042057586541572305,0.13978494623655913,7.08320112815089,0.003611993409027848,1.1395583953413135
frozenset(['brawls']),frozenset(['niconees']),0.03008735037204788,0.05402782271109673,0.006470397929472662,0.2150537634408602,3.980426244285622,0.004844843897725009,1.2051426368201097
frozenset(['niconees']),frozenset(['brawls']),0.05402782271109673,0.03008735037204788,0.006470397929472662,0.11976047904191615,3.980426244285622,0.004844843897725009,1.101873554339238
frozenset(['beads']),frozenset(['iron']),0.01973471368489162,0.13749595600129408,0.006793917825946296,0.3442622950819672,2.5037994214079076,0.0040804745014303015,1.3153186670980264
frozenset(['iron']),frozenset(['beads']),0.13749595600129408,0.01973471368489162,0.006793917825946296,0.049411764705882356,2.5037994214079076,0.0040804745014303015,1.0312196700097056
frozenset(['bafts']),frozenset(['niconees']),0.02167583306373342,0.05402782271109673,0.0042057586541572305,0.19402985074626866,3.5912950218965056,0.0030346605882745127,1.1737062199695651
frozenset(['niconees']),frozenset(['bafts']),0.05402782271109673,0.02167583306373342,0.0042057586541572305,0.07784431137724551,3.5912950218965056,0.0030346605882745127,1.0609099732360814
frozenset(['niconees']),frozenset(['brandy']),0.05402782271109673,0.04820446457457134,0.005823358136525397,0.10778443113772455,2.235984407024876,0.0032189758706071135,1.06677754641642
frozenset(['brandy']),frozenset(['niconees']),0.04820446457457134,0.05402782271109673,0.005823358136525397,0.12080536912751678,2.2359844070248767,0.0032189758706071135,1.075953087145394
frozenset(['niconees']),frozenset(['guns']),0.05402782271109673,0.07246845681009383,0.004529278550630864,0.08383233532934133,1.156811377245509,0.0006139656139483446,1.0124037105406165
frozenset(['guns']),frozenset(['niconees']),0.07246845681009383,0.05402782271109673,0.004529278550630864,0.0625,1.1568113772455089,0.0006139656139483446,1.0090369891081634
frozenset(['brawls']),frozenset(['plains']),0.03008735037204788,0.03979294726625687,0.0061468780329990294,0.20430107526881722,5.134102631348894,0.004949613686262734,1.2067467014086233
frozenset(['plains']),frozenset(['brawls']),0.03979294726625687,0.03008735037204788,0.0061468780329990294,0.15447154471544716,5.134102631348894,0.004949613686262734,1.1471082298484434
frozenset(['tapseils']),frozenset(['rum']),0.0459398252992559,0.06567453898414753,0.0061468780329990294,0.13380281690140847,2.037362103656421,0.003129801185458121,1.0786521582459436
frozenset(['rum']),frozenset(['tapseils']),0.06567453898414753,0.0459398252992559,0.0061468780329990294,0.09359605911330049,2.037362103656421,0.003129801185458121,1.0525772579578863
frozenset(['guns']),frozenset(['rum']),0.07246845681009383,0.06567453898414753,0.007764477515367195,0.10714285714285714,1.6314215341308935,0.003005145023471676,1.0464445163377547
frozenset(['rum']),frozenset(['guns']),0.06567453898414753,0.07246845681009383,0.007764477515367195,0.11822660098522166,1.6314215341308933,0.003005145023471676,1.05189331434386
frozenset(['brawls']),frozenset(['rum']),0.03008735037204788,0.06567453898414753,0.0042057586541572305,0.13978494623655913,2.1284496000847497,0.0022297857892184664,1.0861533484309285
frozenset(['rum']),frozenset(['brawls']),0.06567453898414753,0.03008735037204788,0.0042057586541572305,0.06403940886699507,2.12844960008475,0.0022297857892184664,1.0362750940761805
frozenset(['blankets']),frozenset(['carpets']),0.016823034616628922,0.019411193788417987,0.0042057586541572305,0.25,12.879166666666666,0.0038792034691045823,1.3074517416154428
frozenset(['carpets']),frozenset(['blankets']),0.019411193788417987,0.016823034616628922,0.0042057586541572305,0.21666666666666667,12.879166666666668,0.0038792034691045823,1.255119530276644
frozenset(['plains']),frozenset(['tapseils']),0.03979294726625687,0.0459398252992559,0.006470397929472662,0.16260162601626016,3.5394480705370435,0.004642316883918319,1.1393145775552576
frozenset(['tapseils']),frozenset(['plains']),0.0459398252992559,0.03979294726625687,0.006470397929472662,0.14084507042253522,3.539448070537044,0.004642316883918319,1.1176180449851765
frozenset(['iron']),frozenset(['times']),0.13749595600129408,0.045292785506308636,0.009058557101261728,0.06588235294117648,1.4545882352941177,0.002830982258110266,1.022041728362264
frozenset(['times']),frozenset(['iron']),0.045292785506308636,0.13749595600129408,0.009058557101261728,0.2,1.4545882352941177,0.002830982258110266,1.0781300549983823
frozenset(['iron']),frozenset(['rum']),0.13749595600129408,0.06567453898414753,0.016175994823681657,0.11764705882352941,1.7913648217907852,0.007146011301112035,1.0589021891512995
frozenset(['rum']),frozenset(['iron']),0.06567453898414753,0.13749595600129408,0.016175994823681657,0.2463054187192118,1.7913648217907852,0.007146011301112035,1.1443681106649497
frozenset(['bafts']),frozenset(['iron']),0.02167583306373342,0.13749595600129408,0.006470397929472662,0.29850746268656714,2.171027216856892,0.0034900585402501765,1.2295270414449637
frozenset(['iron']),frozenset(['bafts']),0.13749595600129408,0.02167583306373342,0.006470397929472662,0.047058823529411764,2.171027216856892,0.0034900585402501765,1.0266364714763292
frozenset(['pautkaes']),frozenset(['guns']),0.024263992235522485,0.07246845681009383,0.0042057586541572305,0.1733333333333333,2.3918452380952377,0.0024473845807968173,1.1220139635361768
frozenset(['guns']),frozenset(['pautkaes']),0.07246845681009383,0.024263992235522485,0.0042057586541572305,0.05803571428571428,2.3918452380952377,0.0024473845807968173,1.035852444261815
"frozenset(['sletias', 'niconees'])",frozenset(['tapseils']),0.009382076997735361,0.0459398252992559,0.005823358136525397,0.6206896551724138,13.510927634774163,0.005392347158305267,2.5152495514837803
"frozenset(['sletias', 'tapseils'])",frozenset(['niconees']),0.012617275962471692,0.05402782271109673,0.005823358136525397,0.46153846153846156,8.542607093505298,0.0051416741877279935,1.7568054721079633
"frozenset(['niconees', 'tapseils'])",frozenset(['sletias']),0.01649951472015529,0.05596894208993853,0.005823358136525397,0.35294117647058826,6.306018361101667,0.004899897752640937,1.458957089497368
frozenset(['sletias']),"frozenset(['niconees', 'tapseils'])",0.05596894208993853,0.01649951472015529,0.005823358136525397,0.10404624277456649,6.306018361101668,0.004899897752640937,1.09771344486073
frozenset(['niconees']),"frozenset(['sletias', 'tapseils'])",0.05402782271109673,0.012617275962471692,0.005823358136525397,0.10778443113772455,8.542607093505298,0.0051416741877279935,1.106663858485015
frozenset(['tapseils']),"frozenset(['sletias', 'niconees'])",0.0459398252992559,0.009382076997735361,0.005823358136525397,0.12676056338028172,13.510927634774164,0.005392347158305267,1.1344172989219483
frozenset(['brawls']),frozenset(['pautkaes']),0.03008735037204788,0.024263992235522485,0.00517631834357813,0.17204301075268819,7.090465949820789,0.0044462791077633165,1.1784863470402132
frozenset(['pautkaes']),frozenset(['brawls']),0.024263992235522485,0.03008735037204788,0.00517631834357813,0.21333333333333335,7.090465949820789,0.0044462791077633165,1.2329398088490917
frozenset(['brandy']),frozenset(['tapseils']),0.04820446457457134,0.0459398252992559,0.004852798447104497,0.10067114093959731,2.191369694678136,0.00263829376590452,1.0608579554508273
frozenset(['tapseils']),frozenset(['brandy']),0.0459398252992559,0.04820446457457134,0.004852798447104497,0.1056338028169014,2.191369694678136,0.00263829376590452,1.064212330948117
frozenset(['rum']),frozenset(['times']),0.06567453898414753,0.045292785506308636,0.004529278550630864,0.06896551724137931,1.5226600985221674,0.0015546957431961652,1.0254262674191499
frozenset(['times']),frozenset(['rum']),0.045292785506308636,0.06567453898414753,0.004529278550630864,0.1,1.5226600985221674,0.0015546957431961652,1.0381394011287248
frozenset(['bafts']),frozenset(['tapseils']),0.02167583306373342,0.0459398252992559,0.00517631834357813,0.23880597014925375,5.198234181206644,0.0041805343594143824,1.2533731706852913
frozenset(['tapseils']),frozenset(['bafts']),0.0459398252992559,0.02167583306373342,0.00517631834357813,0.11267605633802819,5.198234181206644,0.0041805343594143824,1.1025558071821417
frozenset(['plains']),frozenset(['knives']),0.03979294726625687,0.041734066645098676,0.005499838240051763,0.13821138211382114,3.311716140417218,0.0038391167268369015,1.1119500924778571
frozenset(['knives']),frozenset(['plains']),0.041734066645098676,0.03979294726625687,0.005499838240051763,0.1317829457364341,3.311716140417218,0.0038391167268369015,1.105952766095115
frozenset(['sletias']),frozenset(['beads']),0.05596894208993853,0.01973471368489162,0.004529278550630864,0.0809248554913295,4.100634890552451,0.0034247475032396476,1.0665779530346777
frozenset(['beads']),frozenset(['sletias']),0.01973471368489162,0.05596894208993853,0.004529278550630864,0.2295081967213115,4.10063489055245,0.0034247475032396476,1.2252317985641223
frozenset(['sletias']),frozenset(['rum']),0.05596894208993853,0.06567453898414753,0.005823358136525397,0.10404624277456649,1.5842706227398275,0.0021476236673382333,1.0428277726176935
frozenset(['rum']),frozenset(['sletias']),0.06567453898414753,0.05596894208993853,0.005823358136525397,0.08866995073891626,1.5842706227398275,0.0021476236673382333,1.0358827284094188
frozenset(['plains']),frozenset(['niconees']),0.03979294726625687,0.05402782271109673,0.004852798447104497,0.12195121951219512,2.2571929312107493,0.0027028721470511493,1.077357201912362
frozenset(['niconees']),frozenset(['plains']),0.05402782271109673,0.03979294726625687,0.004852798447104497,0.08982035928143713,2.2571929312107493,0.0027028721470511493,1.054964327674573
frozenset(['guns']),frozenset(['iron']),0.07246845681009383,0.13749595600129408,0.014234875444839857,0.1964285714285714,1.428613445378151,0.004270755695797516,1.0733383658650562
frozenset(['iron']),frozenset(['guns']),0.13749595600129408,0.07246845681009383,0.014234875444839857,0.10352941176470588,1.4286134453781512,0.004270755695797516,1.034648046865381
frozenset(['muskets']),frozenset(['iron']),0.016823034616628922,0.13749595600129408,0.00517631834357813,0.3076923076923077,2.237828054298643,0.002863219116121873,1.2458391746647974
frozenset(['iron']),frozenset(['muskets']),0.13749595600129408,0.016823034616628922,0.00517631834357813,0.037647058823529415,2.237828054298643,0.002863219116121873,1.0216386559607156
frozenset(['arms']),frozenset(['guns']),0.03202846975088968,0.07246845681009383,0.008735037204788094,0.2727272727272727,3.7633928571428568,0.006413983427952349,1.2753558718861209
frozenset(['guns']),frozenset(['arms']),0.07246845681009383,0.03202846975088968,0.008735037204788094,0.12053571428571427,3.7633928571428568,0.006413983427952349,1.1006376790649783
frozenset(['allejars']),frozenset(['iron']),0.01973471368489162,0.13749595600129408,0.008087997411840828,0.4098360655737705,2.9807135969141756,0.005374554087324834,1.461465185664474
frozenset(['iron']),frozenset(['allejars']),0.13749595600129408,0.01973471368489162,0.008087997411840828,0.058823529411764705,2.9807135969141756,0.005374554087324834,1.0415318667098026
frozenset(['knives']),frozenset(['iron']),0.041734066645098676,0.13749595600129408,0.009058557101261728,0.21705426356589147,1.5786228910168718,0.0033202917100721655,1.101614075998347
frozenset(['iron']),frozenset(['knives']),0.13749595600129408,0.041734066645098676,0.009058557101261728,0.06588235294117648,1.5786228910168718,0.0033202917100721655,1.025851439989504
frozenset(['sletias']),frozenset(['blankets']),0.05596894208993853,0.016823034616628922,0.004852798447104497,0.08670520231213873,5.153957314361938,0.003911230996869361,1.0765165507045773
frozenset(['blankets']),frozenset(['sletias']),0.016823034616628922,0.05596894208993853,0.004852798447104497,0.2884615384615385,5.153957314361939,0.003911230996869361,1.3267463516573839
"frozenset(['sletias', 'brawls'])",frozenset(['tapseils']),0.008735037204788094,0.0459398252992559,0.004852798447104497,0.5555555555555556,12.093114241001567,0.004451512363934031,2.146635393076674
"frozenset(['sletias', 'tapseils'])",frozenset(['brawls']),0.012617275962471692,0.03008735037204788,0.004852798447104497,0.38461538461538464,12.783291976840365,0.004473178044480794,1.5761080556454221
