pair,frequency
pans-ginghams,2
coral-times,5
tapseils-rum,21
bouges-spirits,1
snaphances-salemporis,0
jugs-chints,1
akori-mahubetbanes,0
longees-mahubetbanes,0
photaes-guns,2
cowries-perpetuanoes,0
akori-carbines,0
bars-niconees,36
photaes-linen,0
pans-coral,4
arms-cauldees,0
sletias-allejars,25
pintadoes-knives,0
Welsh-satins,0
tapseils-knives,16
clouts -arms,2
sletias-photaes,0
pintadoes-chercolees,0
platilloes-tobacco,0
longcloths-linen,4
rangoes-carpets,0
pintadoes-lawns,0
pans-mahubetbanes,1
rangoes-chercolees,0
diglings-satins,1
jugs-iron,17
mahubetbanes-iron,0
longees-arms,0
niconees-cowries,2
clouts -jugs,4
platilloes-spirits,0
jugs-blankets,3
mahubetbanes-cowries,0
bars-brawls,25
saccerguntes-cowries,0
rangoes-silk,0
rum-carbines,1
tapseils-muskets,4
clouts -carpets,6
sheets-bouges,0
chints-spirits,1
cauldees-spirits,0
platilloes-iron,0
longees-coral,2
fusils-platilloes,0
says-plains,33
tapseils-sheets,0
rum-brandy,31
coral-perpetuanoes,0
cauldees-times,4
pans-carpets,4
bouges-times,7
guns-silk,6
diglings-linen,1
sheets-plains,0
linen-carbines,1
says-guns,41
pautkaes-longees,6
coral-satins,3
mahubetbanes-times,0
sletias-niconees,29
boysadoes-mahubetbanes,0
tapseils-chercolees,0
lawns-silk,1
bouges-cauldees,0
longees-blankets,4
mahubetbanes-chercolees,0
bafts-silk,8
rum-muskets,3
guns-niconees,14
bouges-pintadoes,0
pautkaes-rum,11
guns-rangoes,0
Welsh-chints,0
akori-brawls,0
sletias-perpetuanoes,0
longcloths-muskets,3
pautkaes-salemporis,2
boysadoes-tobacco,0
salemporis-niconees,2
chercolees-knives,0
bouges-blankets,3
bars-rum,50
pautkaes-carbines,0
Welsh-allejars,0
sheets-Welsh,0
boysadoes-iron,0
umbanees-carbines,0
jugs-rum,7
pans-salemporis,0
diglings-brandy,0
bars-diglings,4
longcloths-tobacco,0
snaphances-Welsh,0
longcloths-brawls,19
clouts -perpetuanoes,0
chercolees-coral,0
says-sletias,59
chercolees-satins,2
tapseils-coral,5
jugs-pintadoes,0
rum-silk,3
Welsh-perpetuanoes,0
sheets-carpets,0
lawns-cauldees,0
jugs-times,5
plains-cauldees,0
allejars-cowries,3
jugs-chercolees,0
brandy-mahubetbanes,0
pans-longcloths,7
lawns-times,0
photaes-perpetuanoes,0
pautkaes-knives,8
diglings-muskets,0
umbanees-blankets,0
saccerguntes-coral,0
bafts-boysadoes,0
longees-rangoes,0
fusils-carpets,0
longcloths-plains,18
says-beads,14
says-blankets,16
fusils-akori,0
plains-niconees,15
plains-brawls,19
longees-spirits,3
pautkaes-guns,13
Welsh-linen,0
rum-platilloes,0
ginghams-iron,9
pintadoes-brawls,0
lawns-chercolees,0
longees-lawns,1
brawls-satins,3
sletias-umbanees,0
niconees-perpetuanoes,0
saccerguntes-knives,0
tapseils-clouts ,11
longees-diglings,1
umbanees-tobacco,0
guns-beads,7
pintadoes-satins,0
photaes-allejars,1
fusils-iron,1
longcloths-satins,3
bars-mahubetbanes,0
pautkaes-akori,0
sletias-pintadoes,0
chints-tobacco,0
salemporis-diglings,0
saccerguntes-diglings,0
pans-times,3
chints-iron,6
sheets-muskets,0
tapseils-pintadoes,0
bafts-carpets,7
muskets-blankets,2
bars-tobacco,4
fusils-jugs,0
clouts -bouges,3
bars-longcloths,23
carbines-knives,2
pans-clouts ,1
longcloths-bafts,10
rangoes-coral,0
pans-jugs,7
longcloths-boysadoes,0
salemporis-carpets,0
allejars-beads,7
says-lawns,1
jugs-silk,4
brawls-carpets,7
lawns-tobacco,0
iron-satins,11
silk-blankets,5
boysadoes-blankets,0
pintadoes-blankets,0
akori-allejars,0
Welsh-rangoes,0
longcloths-akori,0
platilloes-brandy,0
ginghams-mahubetbanes,0
coral-carpets,5
brandy-linen,3
saccerguntes-longees,1
longees-carbines,1
pautkaes-photaes,3
says-linen,3
rangoes-spirits,0
pans-plains,9
snaphances-lawns,0
snaphances-chints,0
photaes-niconees,2
sletias-chints,5
muskets-cowries,1
fusils-lawns,1
clouts -iron,19
clouts -chints,1
mahubetbanes-satins,1
longcloths-allejars,10
akori-salemporis,0
bars-bouges,19
bouges-muskets,6
snaphances-perpetuanoes,0
jugs-carpets,2
salemporis-brandy,2
sletias-linen,4
beads-satins,1
rum-ginghams,2
longcloths-iron,30
plains-allejars,8
silk-carbines,0
fusils-plains,0
pautkaes-satins,12
bouges-carbines,2
bouges-knives,3
sheets-brandy,0
bafts-rangoes,0
fusils-arms,0
diglings-mahubetbanes,0
brandy-cowries,1
bouges-tobacco,1
rangoes-cowries,0
fusils-ginghams,0
sletias-blankets,15
pans-snaphances,0
bouges-rangoes,0
snaphances-iron,0
linen-cowries,0
boysadoes-brandy,0
fusils-satins,0
platilloes-knives,0
longcloths-beads,13
bars-Welsh,0
pintadoes-perpetuanoes,0
clouts -Welsh,0
rum-lawns,0
rangoes-beads,0
bafts-Welsh,0
says-mahubetbanes,0
jugs-brandy,3
saccerguntes-spirits,0
cauldees-perpetuanoes,0
fusils-clouts ,0
linen-times,0
tapseils-iron,36
muskets-beads,5
arms-lawns,0
longcloths-salemporis,4
tapseils-tobacco,4
rum-rangoes,0
bafts-muskets,1
jugs-bafts,2
guns-linen,0
jugs-beads,4
pautkaes-pintadoes,0
pautkaes-snaphances,0
sheets-ginghams,0
bars-iron,313
linen-knives,1
boysadoes-cowries,0
carbines-iron,4
saccerguntes-chints,0
niconees-carbines,1
saccerguntes-muskets,0
niconees-silk,6
guns-Welsh,0
guns-allejars,6
pintadoes-salemporis,0
says-silk,11
guns-carpets,6
platilloes-beads,0
bouges-guns,5
ginghams-spirits,2
jugs-brawls,12
knives-carpets,10
blankets-mahubetbanes,0
fusils-perpetuanoes,0
clouts -longcloths,9
sletias-tobacco,0
longees-cauldees,1
saccerguntes-chercolees,0
saccerguntes-allejars,0
diglings-silk,1
arms-plains,5
bars-carpets,23
diglings-carbines,0
chints-blankets,2
pintadoes-niconees,0
pautkaes-chercolees,2
brandy-iron,40
sheets-mahubetbanes,0
silk-carpets,8
ginghams-rangoes,0
boysadoes-perpetuanoes,0
tapseils-akori,0
rum-spirits,11
fusils-spirits,0
pintadoes-cowries,0
beads-brawls,6
longees-platilloes,0
bars-brandy,37
photaes-knives,1
chints-silk,6
sheets-fusils,0
salemporis-coral,2
arms-carbines,0
clouts -guns,3
brandy-carbines,3
lawns-muskets,0
sletias-clouts ,11
longees-brandy,6
pintadoes-mahubetbanes,0
bars-saccerguntes,1
pans-iron,13
platilloes-carbines,0
akori-satins,0
umbanees-brawls,3
saccerguntes-pintadoes,0
clouts -boysadoes,0
Welsh-muskets,0
boysadoes-lawns,0
longees-muskets,1
umbanees-allejars,2
pans-rum,4
bafts-arms,1
says-platilloes,0
longcloths-silk,10
akori-rangoes,0
bars-carbines,4
Welsh-cauldees,0
silk-spirits,1
says-cauldees,0
fusils-bafts,0
beads-tobacco,0
