web-scraper-order,web-scraper-start-url,next_button,next_button-href,content
1531425500-1728,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-385,"<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-385""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-385"" id=""actrade-9780197263921-div2titlemilestone-385"" class=""lineMilestone""></span><span id=""page196"" class=""page-break""><span id=""actrade-9780197263921-milestone-1136"">pg 196</span></span><span nearest-note="""" sortable-milestone=""000000382-title-"" id=""actrade-9780197263921-milestone-1137"" class=""lineMilestone""></span><b>382</b>. Thomas Willson<span class=""br""></span>Commenda, 28 March 1696</h2>

<p>This by a canoe that was coming to Cabo Corso about some bussiness, may acquaint you I received yours of the 26 &amp; 27 instant, the former with the halfe barrell of powder, a case of spiritts, six peices of beef, John Cabess with his people being gone the night before to a croome hard by, to make some pallaver, and told me he would returne back on Sunday next, but ordered the aforesaid things to be sent to him, which was accordingly. The latter shall observe the contents, but received no rumm.</p>
</div></div>"
1531436061-2256,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-561,"<div id=""contentRoot""></div>"
1531408153-863,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-96,"<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-96""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-96"" id=""actrade-9780197263921-div2titlemilestone-96"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000000095-title-"" id=""actrade-9780197263921-milestone-384"" class=""lineMilestone""></span><b>95</b>. John Pinck<span class=""br""></span>Dickies Cove, 13 Dec. 1695</h2>

<p>Yours of the 9<sup>th</sup> instant have received, with Bastian &amp; the sawyer, as also the saw. I shall not faile to keep [t]hem to worck as much as I can. Two or three nights agoe a party of the Adoomes, soomes of Jappo's friends &amp; Ante Sherry['s] own cousin sett upon him [= Ante Sherry] &amp; routed him, he narrowly escapeing with one of his wifes &amp; a little girle.</p>
</div></div>"
1531435460-2226,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-551,"<div id=""contentRoot""></div>"
1531429752-1941,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div1-12,"<div id=""contentRoot""><div class=""div1 letter collection top-level-work""><a name=""actrade-9780197263921-div1-12""></a><h1><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div1titlemilestone-12"" id=""actrade-9780197263921-div1titlemilestone-12"" class=""lineMilestone""></span><span id=""page241"" class=""page-break""><span id=""actrade-9780197263921-milestone-1324"">pg 241</span></span><span nearest-note="""" sortable-milestone=""000000004-title-"" id=""actrade-9780197263921-milestone-1325"" class=""lineMilestone""></span>IV FORT ROYAL</h1>

<div class=""div2 prelim editorial""><a name=""actrade-9780197263921-div2-456""></a>
<p>Fort Royal was situated only 1 km east of Cape Coast Castle, within clear sight of the latter, as noted in one letter in this correspondence (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-508#actrade-9780197263921-milestone-1404"">no.504</a>). It had originally been the headquarters of the Danish West India and Guinea Company, called Frederixborg, but was acquired by the RAC in 1685. In the correspondence of 1686-8 it was still called 'Fredericksburgh',<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1326"" id=""legend-actrade-9780197263921-milestone-1326""><a href=""#paratextdiv-actrade-9780197263921-note-644"" id=""actrade-9780197263921-milestone-1326"" class=""milestoneText marker""><sup>1</sup></a></span> the name 'Fort Royal' being adopted only from 1689 or 1690. It was also known as 'the Danes' Hill';<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1327"" id=""legend-actrade-9780197263921-milestone-1327""><a href=""#paratextdiv-actrade-9780197263921-note-645"" id=""actrade-9780197263921-milestone-1327"" class=""milestoneText marker""><sup>2</sup></a></span> or simply 'the Hill', as in some of the Rawlinson documents. Although Fort Royal was occupied continuously from the 1680s into the 1690s, correspondence from it in this period is recorded only from June 1691.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1328"" id=""legend-actrade-9780197263921-milestone-1328""><a href=""#paratextdiv-actrade-9780197263921-note-646"" id=""actrade-9780197263921-milestone-1328"" class=""milestoneText marker""><sup>3</sup></a></span> In early 1694, it had ten cannon, and was judged 'impregnable by its position', if adequately manned.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1329"" id=""legend-actrade-9780197263921-milestone-1329""><a href=""#paratextdiv-actrade-9780197263921-note-647"" id=""actrade-9780197263921-milestone-1329"" class=""milestoneText marker""><sup>4</sup></a></span> But later in the same year heavy rains caused its partial collapse (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-507#actrade-9780197263921-milestone-1403"">503–4</a>), and its cannon were removed (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-510#actrade-9780197263921-milestone-1406"">no.506</a>). The correspondence from it peters out in 1695, without explanation. Although not totally abandoned,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1330"" id=""legend-actrade-9780197263921-milestone-1330""><a href=""#paratextdiv-actrade-9780197263921-note-648"" id=""actrade-9780197263921-milestone-1330"" class=""milestoneText marker""><sup>5</sup></a></span> it was evidently downgraded, and no longer had a resident Factor. The structure itself fell into neglect; as Bosman later observed, 'it lay four years [i.e. 1695–9] more like a desolate country cottage, than a fortress; its shattered walls being mended with clay, and its house within covered with reeds, as those of the Negroes'. Bosman also noted that reconstruction of the fort was undertaken from 1699, but this was evidently after the end of the Rawlinson correspondence in February of that year.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1331"" id=""legend-actrade-9780197263921-milestone-1331""><a href=""#paratextdiv-actrade-9780197263921-note-649"" id=""actrade-9780197263921-milestone-1331"" class=""milestoneText marker""><sup>6</sup></a></span></p>
<p>Although Fort Royal did some trade, as recorded in these documents—mainly for gold, but also for corn (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-496#actrade-9780197263921-milestone-1389"">no.492</a>) and on one occasion for a slave (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-480#actrade-9780197263921-milestone-1362"">no.476</a>)—its principal importance was strategic rather than commercial, since <span id=""page242"" class=""page-break""><span id=""actrade-9780197263921-milestone-1332"">pg 242</span></span>it overlooked and thus potentially commanded Cape Coast Castle.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-1333"" id=""legend-actrade-9780197263921-milestone-1333""><a href=""#paratextdiv-actrade-9780197263921-note-650"" id=""actrade-9780197263921-milestone-1333"" class=""milestoneText marker""><sup>7</sup></a></span> The correspondence from Fort Royal is less informative than that from other factories, being largely restricted to orders for goods and acknowledgement of their receipt. This doubtless reflects its proximity to Cape Coast Castle, which meant that more serious and urgent matters were dealt with in face-to-face meetings.</p></div>


























































</div></div>"
1531419756-1442,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-289,"<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-289""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-289"" id=""actrade-9780197263921-div2titlemilestone-289"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000000286-title-"" id=""actrade-9780197263921-milestone-914"" class=""lineMilestone""></span><b>286</b>. Edward Searle<span class=""br""></span>Commenda, 8 Feb. 1694/5</h2>

<p>This morning about six a cloack I arrived here and was received per John Cabbess and the Cabbosheers of the place &amp; made verry welcome per them, particularly John Cabess. So soon as I was ashore I dispatched a messenger to the King of Aquafoe to acquaint <i>him</i> of my arrivall, who sent downe his people to bid me welcome and verry earnestly requested workeman to goe on with the Forte, which he expected I had b[r]ought with me, and understanding to the contrary, said that if the Dutch had halfe the palaveras they would have had guns upon their fort ere this tyme, and that I should dispatch a canoe purposely to acquaint you that he is verry earnest to have us fortifie our selves, that we may be in defence against all the friends of the Dutch. John Cabess and the rest of the Cabbosheers were verry earnest with me on the same account, and that they will assist you with stones or any thing they can, and as I understand by them they are doubtfull<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-915"" id=""legend-actrade-9780197263921-milestone-915""><a href=""#paratextdiv-actrade-9780197263921-note-494"" id=""actrade-9780197263921-milestone-915"" class=""milestoneText marker""><sup>39</sup></a></span> of the Quiferas, the Dutch endeavouring to bring them downe to turne us out. I question not, if you can suply us with men and materialls, but before the rains to raise the fort of defence against any Negroes that shall asault us. If in very few days we have not workman the natives will be verry much disatisfied, and those that would be our friends may be forced to fayle us for fear of the Dutch. The timber for the lower floor I understand you have ready framed, and for the upper floor I beleive here is almost suficeint here, which if this [is] raised would stop the mouthes of the Blacks, we could better fortifie our selfes, and I hope tomorrow night or a Munday morning you will send men and materialls, that we may not slip any opportunity, for all the people are verry much disatisfied that I did not bring workmen with me. I have sent a broken maul and desire three maulls, two crewes [= crows], two pick axes, for the breaking of stone. Alsoe I have sent a man slave which has been blind a long time, and I humble desire more slaves, lusty men for the breaking of stone, <span id=""page148"" class=""page-break""><span id=""actrade-9780197263921-milestone-916"">pg 148</span></span>and the free people will bring them [i.e. stones] to the fort, I supose for some small dashes, but as yet have made no [ms. 'ne'] palavra with them. I desire a table, a cott and a great chest which is in the possession of Mr Salmon<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-917"" id=""legend-actrade-9780197263921-milestone-917""><a href=""#paratextdiv-actrade-9780197263921-note-495"" id=""actrade-9780197263921-milestone-917"" class=""milestoneText marker""><sup>40</sup></a></span> by first canoe, of which I stand in great need of, here being only row [= raw] walls, the slaves haveing nothing to doe for want of mawles to break stone. John Cabess did as good as tell me yesterday that if did loose possession again it was our owne faulte, and that we could never have the licke opportunity. He says all the Blacks say it is he that has brought the Englisch hither, and it has cost him abundance of money and it will be a continuall charge to him till the fort is upp, the meantime he has noe place to fly to for protection, [and that the] Dutch are continualy offering him dashes and lickewisse the same to Great Taggee to turn us out. The Dutch I understand has a great trade and most of the people which live with them, could we protect them, would come and build under our fort. Here is not a lock to a dorre [= door] or any else, I desire if you have any to send two, if not I desire the armorer may macke them. John Cabess is verry desireous to have some blew perpetuanoes, and if you have any I desire you will send what you can, as alsoe some sheets (if you think convenient). John Cabess says he will live and dye with us, but he hath been in the Dutch fort since this falling out and I believe the Dutch will spare noe cost to gett him of their side, soe that we had best make use of the opportunity we have, for he tells me him selfe they have offerd him whatever he demands to turn us out. I find by him he is not disatisfied at nothing more than at our being so backward to bouild, that we may be able to protect him, which with my respects humbly thanking for placeing me here.</p></div></div>"
1531407369-823,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-83,"<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-83""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-83"" id=""actrade-9780197263921-div2titlemilestone-83"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000000082-title-"" id=""actrade-9780197263921-milestone-345"" class=""lineMilestone""></span><b>82</b>. John Pinck<span class=""br""></span>Dickies Cove Fort, 7 July 1695</h2>

<p>Yours of the 4<sup>th</sup> instant have received, &amp; observe your advise concerning the differences of this people. I did what I could to have all qui[e]ted before I advised you of it. I sent a slave for water which he [= Captain Ned] has panyard alsoe, so that if they hinder us from water cannot tell what to doe. I have placed a barrells of Mr Gorings powder to the Companys accompt. The Copeman of Accoda advised me of the French ship to windeward, and the other Tomas Allner was aboard on, she being at anchor of this place, and bought the English Captains coate he was kill'd in. The French vessell is a galley of 18 oars &amp; thirty eight gunns and one hundred and seventy men; her name is the Garden, she came here to loock for the Windhound,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-346"" id=""legend-actrade-9780197263921-milestone-346""><a href=""#paratextdiv-actrade-9780197263921-note-224"" id=""actrade-9780197263921-milestone-346"" class=""milestoneText marker""><sup>190</sup></a></span> or any other vessell she can light on. The Captain own'd of three more vessall but could not tell whether they were [ms. 'more'] gone downe or no. I shall not fayle to be as carefull of the fort &amp; Companys concerns as lies in my power. I should be verry glad if Taggee were in these parts to bring these people a little more to reason and honesty, for of a small company there cannot be greather rogues under the sunne. Please to send when the flagg comes a pair of halliards [= halyards]<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-347"" id=""legend-actrade-9780197263921-milestone-347""><a href=""#paratextdiv-actrade-9780197263921-note-225"" id=""actrade-9780197263921-milestone-347"" class=""milestoneText marker""><sup>191</sup></a></span> with it, for here is none.</p>
</div></div>"
1531405600-735,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-54,"<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-54""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-54"" id=""actrade-9780197263921-div2titlemilestone-54"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000000053-title-"" id=""actrade-9780197263921-milestone-267"" class=""lineMilestone""></span><b>53</b>. Thomas Buckeridge<span class=""br""></span>Dickies Cove, 30 Aug. 1694</h2>

<p>Yours of the 15<sup>th</sup> instant came to hand, wherein you say I would not permitt Cape Coast Tom to execute his orders, alsoe that when this difference happened myselfe went armed with my people of the Fort, which if I deny, I hope you will not be angry, neither one nor the other is true, indeed upon consideration that I had not done these people any harme, but that myself had rather the injury, was unwilling by my submission to draw them back, least thereby I might impaire both the Companys &amp; your honour, alsoe encourage them for the future to be guilty of the like. Nevertheless did not hinder your messenger from acting as he pleased, but did allways imagine that, not being sollicited thereto, they would returne of their owne accord, which hath since happened, they being come home begged pardon and promised to deliver up the person that shott Quomina. As for my disability to support any trouble may come upon me, I may thanck you therefore, but am not insenceable what must lye att my doore. Ashrevy with his people have been upwards 10 dayes att Butteroe. By the Fauconberg sent a man slave for accompt of the Royall Company, and desire a chest sheets by returne of this canoe, haveing per last received two ditto. Sirs, my covenanted time with Company being expired the first of Aprill last and haveing some affairs which require my return to England, desire leave to imbarque on board the shipp Fauconberg, Capt. Francis Buttram, in order thereto, which will be esteemed a favour granted.</p>
<p>PS. On the 28<sup>th</sup> instant deceased Samuell Evans soldier, haveing made his will to one of the men here.</p>
</div></div>"
1531437262-2316,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-581,"<div id=""contentRoot""></div>"
1531407566-832,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-2,Next Section,http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-86,"<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-86""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-86"" id=""actrade-9780197263921-div2titlemilestone-86"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000000085-title-"" id=""actrade-9780197263921-milestone-364"" class=""lineMilestone""></span><b>85</b>. John Pinck<span class=""br""></span>Dickies Cove Fort, 12 Sept. 1695</h2>

<p>Yours I received. This comes to desire on accompt of the Royall African Company of Engeland,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-365"" id=""legend-actrade-9780197263921-milestone-365""><a href=""#paratextdiv-actrade-9780197263921-note-237"" id=""actrade-9780197263921-milestone-365"" class=""milestoneText marker""><sup>203</sup></a></span> one hundred 4 lb, 3 lb, &amp; 2 lb pewter basons to be sent as soon as business will permitt, the traders staying for them. The mony I formerly advised you Mr Jennings received from Captain Billy &amp; Braffo he is still indepted to Mr Goring, that not being included in my receipt. You will likewise receive an accompt of what things I have of his. As for an accompt of his debts I have none, Mr Jening[s] carrying to Cabo Corso, so desire the workman of. It is likewise of the articles of aggreement for this place. I hope by this time the platforme may be done at Cabo Corso, so desire the worckmen may be sent, I haveing in readiness burnt fifty thousand bricks &amp; upwards of fifty butts of shells which I am unwilling to burne before I see the workmen. The slaves we have most of them being lame is the reason we goe so slo[w]ly to work with the bricks, but if you please to spare me a dosen or a halfe more of slaves, I dare promise not only to build that which is downe with good brick, but [to] new case the rest of the fort, which will preserve it mightily from the rains. Here is no news stirring in these parts, nor any schips to windward. When the workmen come please to send some cordages<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-366"" id=""legend-actrade-9780197263921-milestone-366""><a href=""#paratextdiv-actrade-9780197263921-note-238"" id=""actrade-9780197263921-milestone-366"" class=""milestoneText marker""><sup>204</sup></a></span> for the scaffolds, as also Quashee the carpenter.</p>
</div></div>"
