web-scraper-order,web-scraper-start-url,next_button,next_button-href,content
"1532451532-149","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div3-46","<div id=""contentRoot""><div class=""div3 letter sub-work""><a name=""actrade-9780197263921-div3-46""></a><h3><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div3titlemilestone-46"" id=""actrade-9780197263921-div3titlemilestone-46"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001450-title-"" id=""actrade-9780197263921-milestone-3831"" class=""lineMilestone""></span><b>1450</b>. Johan Staphorst<span class=""br""></span>Mina, 11 Nov. 1695 [in Dutch]</h3>

<p><i>We allow ourselves to be very pleased at the business which our Fiscael has transacted with your Honours, we promising under solemn oath sincerely to uphold the same, in which your Honours must by no means make difficulties, and likewise in the future for anything that may be for refreshment or other service, please command freely</i>.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3832"" id=""legend-actrade-9780197263921-milestone-3832""><a href=""#paratextdiv-actrade-9780197263921-note-1743"" id=""actrade-9780197263921-milestone-3832"" class=""milestoneText marker""><sup>43</sup></a></span></p>
</div></div>"
"1532446687-74","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div4-47","<div id=""contentRoot""><div class=""div4 letter sub-work""><a name=""actrade-9780197263921-div4-47""></a><h4><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div4titlemilestone-47"" id=""actrade-9780197263921-div4titlemilestone-47"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001391-title-"" id=""actrade-9780197263921-milestone-3614"" class=""lineMilestone""></span><b>1391</b>. James Funnell<span class=""br""></span>from on board the Kendall Frigatt in Accra Road, 7 Sept. 1693</h4>

<p>I am heartily sorry that I have no other wayes to retaliate the many favours I have received from you, but only my bare humble and hearty thanks, assureing you, if you please to lay any commands upon me in any thinge can serve you, shall be more ready to serve then you will be to command me. Thank be God we are all well on bord, and designed to saile this evening from this place. I tooke in at Anamaboe 520 chests of corne,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3615"" id=""legend-actrade-9780197263921-milestone-3615""><a href=""#paratextdiv-actrade-9780197263921-note-1617"" id=""actrade-9780197263921-milestone-3615"" class=""milestoneText marker""><sup>72</sup></a></span> and I do find we have rather more provision for Negroes then had last voyage, which is the reason have not taken the remainder of the 600 chests. I have given a receipt according to your order. I have received of Mr Bloome 22 slaves, and have paid him out of the Whydah cargoe, as doubtless he will give you an accompt,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3616"" id=""legend-actrade-9780197263921-milestone-3616""><a href=""#paratextdiv-actrade-9780197263921-note-1618"" id=""actrade-9780197263921-milestone-3616"" class=""milestoneText marker""><sup>73</sup></a></span> and have bought severall besides. I shall by [ms. 'buy'] my canoe, when I have done, give you an accompt of my future proceedings. I can here of no more but one French man on the Coast, and he is gone down long since to Whydah.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3617"" id=""legend-actrade-9780197263921-milestone-3617""><a href=""#paratextdiv-actrade-9780197263921-note-1619"" id=""actrade-9780197263921-milestone-3617"" class=""milestoneText marker""><sup>74</sup></a></span> so hope to meet with no molestation. Sirs, looking over my accompts last night I missed a case of sayes, and do find by my boatswaines accompt that it was put ashore at Cape Coast through a mistake, you haveing one case more then your complement, which humbly desire to dispose of it, if possible. It came ashore with other goods mentioned on the other side, it is <a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-327#actrade-9780197263921-milestone-1007"">no.324</a>, which will see by the invoyce of my Windward cargoe, not belonging to the Castle cargoe.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3618"" id=""legend-actrade-9780197263921-milestone-3618""><a href=""#paratextdiv-actrade-9780197263921-note-1620"" id=""actrade-9780197263921-milestone-3618"" class=""milestoneText marker""><sup>75</sup></a></span> I am very glad you have it because I could not dispose of it myselfe, but as for the rest of my Windward cargoe it is almost all gone. As for news I have little at present. If you have any conveyance before you here further <span id=""page608"" class=""page-break""><span id=""actrade-9780197263921-milestone-3619"">pg 608</span></span>from me pray lett me begg of you to advise Mr Cradock<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3620"" id=""legend-actrade-9780197263921-milestone-3620""><a href=""#paratextdiv-actrade-9780197263921-note-1621"" id=""actrade-9780197263921-milestone-3620"" class=""milestoneText marker""><sup>76</sup></a></span> that we are all well so farr, and that I shall endeavour to gett of the Coast as soon as possible. I have little else at present to trouble you with, only desireing you to except of my humble thanks for the favours I received from you.</p>
<p></p><blockquote class=""otherType""><p>[Funnell called first at Little Popo, but was unable to get slaves there, so went on to Whydah, where he arrived 14 Sept., &amp; departed 18 Oct. 1693 (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1360#actrade-9780197263921-milestone-3428"">1347–8</a>). The <i>Kendal</i> returned to Africa in 1695/6 (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div4-65#actrade-9780197263921-milestone-3675"">no.1404</a>), under a different captain,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3621"" id=""legend-actrade-9780197263921-milestone-3621""><a href=""#paratextdiv-actrade-9780197263921-note-1622"" id=""actrade-9780197263921-milestone-3621"" class=""milestoneText marker""><sup>77</sup></a></span> but no correspondence is preserved from this later voyage.]</p></blockquote><p></p></div></div>"
"1532444815-46","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div4-21","<div id=""contentRoot""><div class=""div4 letter sub-work""><a name=""actrade-9780197263921-div4-21""></a><h4><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div4titlemilestone-21"" id=""actrade-9780197263921-div4titlemilestone-21"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001373-title-"" id=""actrade-9780197263921-milestone-3544"" class=""lineMilestone""></span><b>1373</b>. Richard Bradshaw<span class=""br""></span>Amersa, 28 July 1694</h4>

<p>For fear my former should not come to your hand I have wrott to the same forme per this, which I send by land, that three of our men this morning are gone ashore without my leave, and to prevent further dangers, which I know not but this night they designe to murther me and runn away with the Companys vessell, I have none aboard but my self, cooke &amp; boy, besides some few slaves, and they tell me betimes in the morning they will be with me againe with more men, <span id=""page598"" class=""page-break""><span id=""actrade-9780197263921-milestone-3545"">pg 598</span></span>I suppose for noe good designe. I desire that two or three men may be sent downe with all speed, to secure the Companys vessell.</p>
</div></div>"
"1532445411-55","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div3-7","<div id=""contentRoot""><div class=""div3""><a name=""actrade-9780197263921-div3-7""></a>
<h3><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div3titlemilestone-7"" id=""actrade-9780197263921-div3titlemilestone-7"" class=""lineMilestone""></span>The <span class=""textNode""><i>Swallow</i></span> (2<sup>nd</sup> tour), Commander Nicholas Pepperell</h3>
<div class=""div4 prelim""><a name=""actrade-9780197263921-div4-30""></a><p></p><blockquote class=""otherType""><p>[As noted above, Pepperell had taken the <i>Swallow</i>, after a period based in Africa, to England via the West Indies in 1694/5. In 1696, he returned to Africa, again with instructions to remain there for up to 2 years.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3573"" id=""legend-actrade-9780197263921-milestone-3573""><a href=""#paratextdiv-actrade-9780197263921-note-1592"" id=""actrade-9780197263921-milestone-3573"" class=""milestoneText marker""><sup>47</sup></a></span> In Aug.–Sept. 1686 he made 2 visits to Dixcove (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-113#actrade-9780197263921-milestone-447"">112</a>, <a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1162#actrade-9780197263921-milestone-2883"">1152</a>). In April 1697 he again went west from Cape Coast, delivering shells &amp; bricks to Komenda (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-389#actrade-9780197263921-milestone-1147"">no.386</a>), &amp; arriving at Cape Three Points 12 May 1697, to join William Piles in the <i>Sally Rose</i>, to cut timber (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-396#actrade-9780197263921-milestone-1162"">393</a>, <a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div4-26#actrade-9780197263921-milestone-3554"">1376–7</a>).]</p></blockquote><p></p></div>
</div></div>"
"1532442949-18","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1363","<div id=""contentRoot""><div class=""div2 letter sub-work""><a name=""actrade-9780197263921-div2-1363""></a><h2><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div2titlemilestone-1363"" id=""actrade-9780197263921-div2titlemilestone-1363"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001350-title-"" id=""actrade-9780197263921-milestone-3446"" class=""lineMilestone""></span><b>1350</b>. Josiah Pearson<span class=""br""></span>Whydah Factory, 22 April 1694</h2>

<p>This accompanys Mr Anysworth, who slaved off one of [their]<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3447"" id=""legend-actrade-9780197263921-milestone-3447""><a href=""#paratextdiv-actrade-9780197263921-note-1515"" id=""actrade-9780197263921-milestone-3447"" class=""milestoneText marker""><sup>68</sup></a></span> shipps in eighteen dayes, which took in five hundred &amp; ninety slaves. I know nothing more as touching the affairs of the country than what I did satisfy your Worships in my last by the Brandenbrough, onely that slaves are very plenty in these parts. I understand by Mr Anysworth that Capt. Shirley and Capt. Phillips is to the windward with two great shipps bound for slaves, if they come down here they will not lye six weeks before they take in fifteen hundred Negroes, if they want so many, on condition their cargo is vendable.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3448"" id=""legend-actrade-9780197263921-milestone-3448""><a href=""#paratextdiv-actrade-9780197263921-note-1516"" id=""actrade-9780197263921-milestone-3448"" class=""milestoneText marker""><sup>69</sup></a></span> Their cargoes ought to be two-thirds boogs, if be soe will not fail of a quick dispatch.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3449"" id=""legend-actrade-9780197263921-milestone-3449""><a href=""#paratextdiv-actrade-9780197263921-note-1517"" id=""actrade-9780197263921-milestone-3449"" class=""milestoneText marker""><sup>70</sup></a></span></p>
</div></div>"
"1532451892-155","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div3-52","<div id=""contentRoot""><div class=""div3 letter sub-work""><a name=""actrade-9780197263921-div3-52""></a><h3><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div3titlemilestone-52"" id=""actrade-9780197263921-div3titlemilestone-52"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001455-title-"" id=""actrade-9780197263921-milestone-3848"" class=""lineMilestone""></span><b>1455</b>. Antonio de Andrade, Manoel Afonso Monteiro, Joas de Meytelles Furtado, Lourenco de Souza Rego, Joas Bauptista Crey<span class=""br""></span>Acara Fort, 4 Sept. 1693 [in Portuguese &amp; English translation]</h3>

<p>I. Anthony de Andrade. Master of the ship called our Lady of the Clouds and Lady Catherine,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3849"" id=""legend-actrade-9780197263921-milestone-3849""><a href=""#paratextdiv-actrade-9780197263921-note-1752"" id=""actrade-9780197263921-milestone-3849"" class=""milestoneText marker""><sup>52</sup></a></span> and Emanuel Afonso Monteiro, Purser of said ship, and wee here underwritten, say that on the 21<sup>st</sup> in August in the year 1693, comeing on the Coast of the Mine,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3850"" id=""legend-actrade-9780197263921-milestone-3850""><a href=""#paratextdiv-actrade-9780197263921-note-1753"" id=""actrade-9780197263921-milestone-3850"" class=""milestoneText marker""><sup>53</sup></a></span> the Dutch from the Castle of the Mine took us almost under Cabo Corso to robb us. and at the same tyme the English from the shipps that were at the fortification of Cabo Corso came on board to carry us to their said fortification, seing they would take us under it and under theirs of the Mine, comeing on board to carry us along with them, which was what wee all desired.
<span id=""page642"" class=""page-break""><span id=""actrade-9780197263921-milestone-3851"">pg 642</span></span>for that they treate us with more civility and honesty then them at the Mine. There arose some difference betweene said Dutch and English, at which tyme the English by consent of the Dutch, who were much affraid of them, tooke away some things, which the Generall of Cabo Corso understanding, ordered us to bee paid, and [we] went to the Mine, where the Generall Joel Smith sent his fiscall to robb us of 8 barrells and some anchors of rumme and two feiches of sugar,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3852"" id=""legend-actrade-9780197263921-milestone-3852""><a href=""#paratextdiv-actrade-9780197263921-note-1754"" id=""actrade-9780197263921-milestone-3852"" class=""milestoneText marker""><sup>54</sup></a></span> and 9 rolls of tobacco, this besides what the Dutch seamen belonging to their ships took forcibly from us, for all which they would pay us nothing, but forced us to signe a paper the contents whereof wee knew not, being written in Dutch, which language wee understand nothing of, wherefore both for the defence of the English as also to satisfy our consciencyes wee have made this, which att all tymes wee protest to owne under the oath of the holy Evangellists.</p></div></div>"
"1532451226-144","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div3-41","<div id=""contentRoot""><div class=""div3 letter sub-work""><a name=""actrade-9780197263921-div3-41""></a><h3><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div3titlemilestone-41"" id=""actrade-9780197263921-div3titlemilestone-41"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001445-title-"" id=""actrade-9780197263921-milestone-3820"" class=""lineMilestone""></span><b>1445</b>. Johan Staphorst<span class=""br""></span>Mina, 19 Sept. 1695 [in Dutch]</h3>

<p><i>The day before yesterday two persons deserted from here to Cabo Cors, without our knowing the reasons for this. They are a man named Willem Homma, an assistant in rank,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3821"" id=""legend-actrade-9780197263921-milestone-3821""><a href=""#paratextdiv-actrade-9780197263921-note-1739"" id=""actrade-9780197263921-milestone-3821"" class=""milestoneText marker""><sup>39</sup></a></span> and the other a soldier, wherefore I am requesting by these, if the persons are at Cabo Cors, that your Honours please send them here to give reasons for running away. If you do so, we on our side shall always are prepared to do the same, and not neglect to live in a good harmony between both Companies</i>.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3822"" id=""legend-actrade-9780197263921-milestone-3822""><a href=""#paratextdiv-actrade-9780197263921-note-1740"" id=""actrade-9780197263921-milestone-3822"" class=""milestoneText marker""><sup>40</sup></a></span></p>
</div></div>"
"1532444289-38","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div3-4","<div id=""contentRoot""><div class=""div3""><a name=""actrade-9780197263921-div3-4""></a>
<h3><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div3titlemilestone-4"" id=""actrade-9780197263921-div3titlemilestone-4"" class=""lineMilestone""></span><span id=""page593"" class=""page-break""><span id=""actrade-9780197263921-milestone-3520"">pg 593</span></span>The <span class=""textNode""><i>Swallow Brigantine</i></span> (1<sup>st</sup> tour of service),<span class=""br""></span>Commander Richard Bradshaw, then Nicholas Pepperell</h3>
<div class=""div4 prelim""><a name=""actrade-9780197263921-div4-13""></a><p></p><blockquote class=""otherType""><p>[Bradshaw was sent in the <i>Swallow</i> to Cape Coast in 1692, with instructions to remain there at the disposal of the Chief Merchants, &amp; to return to England within 2 years; as reported in 1694, he was 'chiefly employed to carry stores and merchandize &amp;c., to the other factories on the coast'.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3521"" id=""legend-actrade-9780197263921-milestone-3521""><a href=""#paratextdiv-actrade-9780197263921-note-1564"" id=""actrade-9780197263921-milestone-3521"" class=""milestoneText marker""><sup>18</sup></a></span> He arrived at Dixcove on 7 Feb. 1693, en route to Cape Coast (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-25#actrade-9780197263921-milestone-129"">no.24</a>). During the hiatus in the correspondence between Feb.–July 1693 he made a voyage to Whydah (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1364#actrade-9780197263921-milestone-3450"">no. 1351</a>). During Aug.–Nov. 1693 he made 3 separate voyages east, to deliver goods &amp; supplies to Winneba &amp; Accra (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1076#actrade-9780197263921-milestone-2600"">nos 1066–8</a>, <a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1088#actrade-9780197263921-milestone-2666"">1078</a>, <a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1232#actrade-9780197263921-milestone-3062"">1221</a>), &amp; to collect oystershells from Amisa (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-706#actrade-9780197263921-milestone-1774"">nos 700–1</a>, <a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1232#actrade-9780197263921-milestone-3062"">1221</a>). He was back at Amisa for shells in late Dec. 1693 (<a href=""/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-720#actrade-9780197263921-milestone-1808"">nos 714–15</a>).]</p></blockquote><p></p></div>








</div></div>"
"1532450901-139","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div3-36","<div id=""contentRoot""><div class=""div3 letter sub-work""><a name=""actrade-9780197263921-div3-36""></a><h3><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div3titlemilestone-36"" id=""actrade-9780197263921-div3titlemilestone-36"" class=""lineMilestone""></span><span id=""page634"" class=""page-break""><span id=""actrade-9780197263921-milestone-3802"">pg 634</span></span><span nearest-note="""" sortable-milestone=""000001440-title-"" id=""actrade-9780197263921-milestone-3803"" class=""lineMilestone""></span><b>1440</b>. John Snaphorst<span class=""br""></span>Mina, 26 Nov. 1694 [in French]</h3>

<p><i>Capt. Velcompt and his company have given us your kind letter. We find your suggestions one with the other of good unity, by which I desire to maintain on our side in holy faith, with promise of not giving false grounds.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3804"" id=""legend-actrade-9780197263921-milestone-3804""><a href=""#paratextdiv-actrade-9780197263921-note-1729"" id=""actrade-9780197263921-milestone-3804"" class=""milestoneText marker""><sup>29</sup></a></span> You are pleased to say that the friendship was first broken by us, I do not know what is the offence I have committed</i>.</p>
<p><i>I understand from your Mightiness that we have kept here the people from Zacconde.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3805"" id=""legend-actrade-9780197263921-milestone-3805""><a href=""#paratextdiv-actrade-9780197263921-note-1730"" id=""actrade-9780197263921-milestone-3805"" class=""milestoneText marker""><sup>30</sup></a></span> I promise you that I have no knowledge of all that, but we know very well that a little time ago an English slave from Zacconde who fled here, and we at once brought him back to Cabo Corso, and my servant, who brought the slave, is also the bearer of this letter. If you presume that we, that there are some slaves of the Royal Company here, I have no knowledge of it. I desire that your Bomba come here to see if he recognises anybody here in the blacks' village &amp;ca. I promise to lend a hand to those who will be sent to fetch them</i>.</p>
</div></div>"
"1532444354-39","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div2-1357","Next Section","http://www.oxfordscholarlyeditions.com.ezp-prod1.hul.harvard.edu/view/10.1093/actrade/9780197263921.book.1/actrade-9780197263921-div4-14","<div id=""contentRoot""><div class=""div4 letter sub-work""><a name=""actrade-9780197263921-div4-14""></a><h4><span nearest-note="""" sortable-milestone=""actrade-9780197263921-div4titlemilestone-14"" id=""actrade-9780197263921-div4titlemilestone-14"" class=""lineMilestone""></span><span nearest-note="""" sortable-milestone=""000001366-title-"" id=""actrade-9780197263921-milestone-3522"" class=""lineMilestone""></span><b>1366</b>. Richard Bradshaw<span class=""br""></span>Amersa, 29 Dec. 1693</h4>

<p>I have forboare with great patience, and wish I could have continued it longer, till I came myselfe to Cabo Corso Castle, but the insolency of some of our men has soe perplexed mee with denying the ships worke that I have suffered more abuses with these raskalls then ever I did since I was borne, and except there bee some course taken with them, I cannott think myselfe secure nor the vessell safe. This morning I being in the whole [= hold] aworking and [there] proving little winde, [I] ordered the slack of the cable to bee halled in, and before I came upon deck found the ship had drove very neare the shore. I being much surprized, being affraide wee could not carry it off, orders our men immediately to hawle up the boate. Some of them makeing but slow hast, and seing this Frenchman sitt on the shipps gunnell,<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3523"" id=""legend-actrade-9780197263921-milestone-3523""><a href=""#paratextdiv-actrade-9780197263921-note-1565"" id=""actrade-9780197263921-milestone-3523"" class=""milestoneText marker""><sup>19</sup></a></span> I asked him why hee did not make hast and step in the boate. I seeing hee did not care to stirr, I told him, if he did not make more hast, I would give him a slap on the face, and in that occasion of time it would have urged any man, but hee replyed if I struck him hee would strike mee againe, upon which, a shovell being by mee, I hot [= hit] him a blow or two with the flatt side of it, which if I had not defended myselfe, [he] would have gave mee as much or more. Soe hee told mee hee would goe ashore, and I promised hee should when hee pleased, soe have lett him goe in my canoa to Agga. This Frenchman is one of the rascalls that reffused to carry the bricks ashore at Wynnebah till Mr Buckeridge had drassed [= dressed] him.<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3524"" id=""legend-actrade-9780197263921-milestone-3524""><a href=""#paratextdiv-actrade-9780197263921-note-1566"" id=""actrade-9780197263921-milestone-3524"" class=""milestoneText marker""><sup>20</sup></a></span> I hope, <span id=""page594"" class=""page-break""><span id=""actrade-9780197263921-milestone-3525"">pg 594</span></span>Gentlemen, you will bee pleased to make an example of him, that others may take warneing. Hee has 50s per month, and will justify it. Hee is not the 3<sup>d</sup> part of a sailer, but great lauber [= lubber],<span class=""fragment-marker work-legend"" data-type=""fragment-marker"" sortable-milestone=""actrade-9780197263921-milestone-3526"" id=""legend-actrade-9780197263921-milestone-3526""><a href=""#paratextdiv-actrade-9780197263921-note-1567"" id=""actrade-9780197263921-milestone-3526"" class=""milestoneText marker""><sup>21</sup></a></span> and one that is continually grumbling with anything that is to bee done. If I had but 3 or 4 slaves on board [they] would doe the Company more service then some white men I have aboard, soe will not insist any more till I come to Cabo Corsoe, onely shall trouble you with a line or two, which is this, one 5 hand canoes is broake soe much that I have not wherewith to refitt her, and the other soe leaky [ms. 'lealy'] that she can hardly swym. The weather now is good, and if I had but canoes should bee soon dispatched.</p>
<p>[PS] I have but sixteen butts aboard as yett.</p>
</div></div>"
